"","Position","Height","Playtype","Name","Rating","Team"
"570","SG","6'4""","Interior Finisher","James Bouknight",72,"Charlotte Hornets"
"571","SG","6'6""","Athletic Finisher","Bryce McGowens",72,"Charlotte Hornets"
"572","PF","6'9""","Paint Protector","J.T. Thor",72,"Charlotte Hornets"
"573","C","6'11""","2-Way Interior Finisher","Kai Jones",72,"Charlotte Hornets"
"574","PG / SG","6'5""","Interior Finisher","Kobi Simmons",68,"Charlotte Hornets"
"575","SG","6'5""","Perimeter Defender","Xavier Sneed",68,"Charlotte Hornets"
"576","C / PF","6'10""","Paint Beast","Alonzo Mourning",85,"1992-93 Charlotte Hornets"
"577","PF / SF","6'7""","2-Way Inside-the-Arc Scorer","Larry Johnson",85,"1992-93 Charlotte Hornets"
"578","PG / SG","5'3""","Mid-Range Playmaker","Muggsy Bogues",82,"1992-93 Charlotte Hornets"
"579","SG / SF","6'5""","Sharpshooter","Dell Curry",80,"1992-93 Charlotte Hornets"
"580","SG / SF","6'5""","Inside the Arc Scorer","Kendall Gill",80,"1992-93 Charlotte Hornets"
"581","SF / SG","6'7""","Inside the Arc Scorer","Johnny Newman",79,"1992-93 Charlotte Hornets"
"582","PF / C","6'8""","Interior Finisher","Kenny Gattison",78,"1992-93 Charlotte Hornets"
"583","C","6'11""","Paint Protector","Mike Gminski",74,"1992-93 Charlotte Hornets"
"584","PF / C","6'9""","Glass Cleaner","Sidney Green",73,"1992-93 Charlotte Hornets"
"585","SG / SF","6'5""","Hybrid Defender","David Wingate",71,"1992-93 Charlotte Hornets"
"586","PG / SG","6'0""","3PT Shooter","Tony Bennett",68,"1992-93 Charlotte Hornets"
"587","SG / SF","6'5""","Prospect","Kevin Lynch",65,"1992-93 Charlotte Hornets"
"588","SF","6'7""","2-Way 3-Level Scorer","Glen Rice",90,"All-Time Charlotte Hornets"
"589","PG","6'1""","Playmaking Shot Creator","Kemba Walker",89,"All-Time Charlotte Hornets"
"590","SG / SF","6'6""","2-Way Scoring Machine","Eddie Jones",89,"All-Time Charlotte Hornets"
"591","C / PF","6'10""","2-Way Inside-the-Arc Scorer","Alonzo Mourning",89,"All-Time Charlotte Hornets"
"592","PF / SF","6'6""","2-Way 3-Level Scorer","Larry Johnson",88,"All-Time Charlotte Hornets"
"593","PF / C","6'10""","2-Way Stretch Four","Derrick Coleman",86,"All-Time Charlotte Hornets"
"594","C / PF","7'1""","2-Way Inside-the-Arc Maestro","Vlade Divac",85,"All-Time Charlotte Hornets"
"595","SG / SF","6'5""","2-Way Diming Sharpshooter","Dell Curry",85,"All-Time Charlotte Hornets"
"596","SG / SF","6'5""","2-Way 3-Level Scorer","Kendall Gill",85,"All-Time Charlotte Hornets"
"597","PG / SG","5'3""","Playmaking Shot Creator","Muggsy Bogues",85,"All-Time Charlotte Hornets"
"598","PG","6'3""","2-Way Playshot","Baron Davis",85,"All-Time Charlotte Hornets"
"599","SF / PF","6'7""","2-Way Sharpshooter","Gerald Wallace",84,"All-Time Charlotte Hornets"
"600","SF","6'8""","2-Way 3-Level Point Forward","Stephen Jackson",83,"All-Time Charlotte Hornets"
"601","C","6'11""","2-Way Inside-the-Arc Scorer","P.J. Brown",83,"All-Time Charlotte Hornets"
"602","SG","6'1""","2-Way Diming Sharpshooter","David Wesley",82,"All-Time Charlotte Hornets"
"603","PF / SF","7'0""","3-Level Scorer","Lauri Markkanen",86,"Utah Jazz"
"604","C","7'0""","Defensive Anchor","Walker Kessler",83,"Utah Jazz"
"605","SG / SF","6'5""","Offensive Threat","Jordan Clarkson",82,"Utah Jazz"
"606","SG / PG","6'2""","Scoring Machine","Collin Sexton",81,"Utah Jazz"
"607","SF / SG","6'4""","Diming Finisher","Talen Horton-Tucker",79,"Utah Jazz"
"608","PF / C","6'11""","Inside-Out Scorer","Kelly Olynyk",79,"Utah Jazz"
"609","SG","6'5""","2-Way Inside-Out Scorer","Ochai Agbaji",77,"Utah Jazz"
"610","PG","6'3""","2-Way Mid-Range Playmaker","Kris Dunn",76,"Utah Jazz"
"611","PF / SF","6'8""","Inside the Arc Shot Creator","Rudy Gay",75,"Utah Jazz"
"612","SF","6'7""","3PT Shooter","Simone Fontecchio",74,"Utah Jazz"
"613","C / PF","6'10""","Rim Protector","Vernon Carey Jr.",73,"Utah Jazz"
"614","C","6'11""","2-Way Inside-the-Arc Scorer","Damian Jones",73,"Utah Jazz"
"615","PF / SF","6'6""","Lob Threat","Juan Toscano-Anderson",72,"Utah Jazz"
"616","C","6'11""","Defensive Anchor","Udoka Azubuike",72,"Utah Jazz"
"617","PF","6'10""","Rebounder","Luka Samanic",71,"Utah Jazz"
"618","SF","6'6""","3PT Shooter","Johnny Juzang",68,"Utah Jazz"
"619","PF / C","6'8""","Stretch Five","Micah Potter",67,"Utah Jazz"
"620","PF / C","6'9""","2-Way Inside-the-Arc Scorer","Karl Malone",97,"1997-98 Utah Jazz"
"621","PG / SG","6'1""","2-Way Playshot","John Stockton",94,"1997-98 Utah Jazz"
"622","SG / PG","6'3""","2-Way Diming Sharpshooter","Jeff Hornacek",82,"1997-98 Utah Jazz"
"623","SF / PF","6'9""","Glass Cleaner","Adam Keefe",77,"1997-98 Utah Jazz"
"624","SF / SG","6'8""","2-Way Shooter","Bryon Russell",76,"1997-98 Utah Jazz"
"625","PG / SG","6'2""","Diming 3-Level Scorer","Howard Eisley",76,"1997-98 Utah Jazz"
"626","SF / SG","6'6""","Inside the Arc Scorer","Shandon Anderson",75,"1997-98 Utah Jazz"
"627","SF","6'8""","Prospect","Chris Morris",72,"1997-98 Utah Jazz"
"628","PG","6'1""","3PT Shooter","Jacque Vaughn",70,"1997-98 Utah Jazz"
"629","C / PF","7'2""","Defensive Anchor","Greg Ostertag",70,"1997-98 Utah Jazz"
"630","PF / C","6'9""","Paint Protector","Antoine Carr",69,"1997-98 Utah Jazz"
"631","PF / C","6'11""","Paint Protector","Greg Foster",69,"1997-98 Utah Jazz"
"632","PF / C","6'9""","2-Way Diming 3-Level Scorer","Karl Malone",97,"All-Time Utah Jazz"
"633","PG / SG","6'1""","All-Around Threat","John Stockton",97,"All-Time Utah Jazz"
"634","SG / PG","6'5""","All-Around Threat","Pete Maravich",94,"All-Time Utah Jazz"
"635","SF","6'5""","2-Way Slashing Point Forward","Adrian Dantley",91,"All-Time Utah Jazz"
"636","C","7'4""","Defensive Anchor","Mark Eaton",89,"All-Time Utah Jazz"
"637","PF / SF","6'9""","2-Way Slashing Playmaker","Andrei Kirilenko",89,"All-Time Utah Jazz"
"638","SF","6'8""","2-Way 3-Level Scorer","Gordon Hayward",88,"All-Time Utah Jazz"
"639","SG / PG","6'3""","All-Around Threat","Donovan Mitchell",88,"All-Time Utah Jazz"
"640","C","7'1""","Defensive Anchor","Rudy Gobert",88,"All-Time Utah Jazz"
"641","PF","6'9""","2-Way Inside-the-Arc Scorer","Carlos Boozer",88,"All-Time Utah Jazz"
"642","PG","6'3""","Versatile Offensive Force","Deron Williams",87,"All-Time Utah Jazz"
"643","SG / SF","6'4""","2-Way Diming 3-Level Scorer","Darrel Griffith",87,"All-Time Utah Jazz"
"644","PF / SF","6'11""","2-Way Inside-the-Arc Scorer","Thurl Bailey",86,"All-Time Utah Jazz"
"645","PF","6'7""","2-Way Inside-the-Arc Scorer","Truck Robinson",86,"All-Time Utah Jazz"
"646","SG / PG","6'3""","2-Way Diming Sharpshooter","Jeff Hornacek",84,"All-Time Utah Jazz"
"647","PG","6'3""","2-Way Playshot","De’Aaron Fox",89,"Sacramento Kings"
"648","PF / C","7'1""","Diming 3-Level Scorer","Domantas Sabonis",89,"Sacramento Kings"
"649","SG / SF","6'7""","3-Level Scorer","Kevin Huerter",81,"Sacramento Kings"
"650","SG / PG","6'3""","3-Level Scorer","Malik Monk",80,"Sacramento Kings"
"651","SF / PF","6'8""","Inside-Out Scorer","Keegan Murray",79,"Sacramento Kings"
"652","SF / PF","6'8""","3-Level Scorer","Harrison Barnes",79,"Sacramento Kings"
"653","PF / C","6'9""","Stretch Four","Trey Lyles",77,"Sacramento Kings"
"654","SF / SG","6'4""","Inside-Out Scorer","Terence Davis",76,"Sacramento Kings"
"655","PF / C","6'9""","Glass-Cleaning Finisher","Chimezie Metu",76,"Sacramento Kings"
"656","PG","6'0""","2-Way 3-Level Shot Creator","Davion Mitchell",75,"Sacramento Kings"
"657","C","6'8""","Interior Finisher","Richaun Holmes",75,"Sacramento Kings"
"658","C","7'2""","Interior Finisher","Alex Len",74,"Sacramento Kings"
"659","SF / SG","6'6""","Tempo-Pushing Wing","P.J. Dozier",74,"Sacramento Kings"
"660","SF / PF","6'7""","3PT Shooter","Kessler Edwards",71,"Sacramento Kings"
"661","C","7'0""","Rim Protector","Neemias Queta",70,"Sacramento Kings"
"662","PG","6'3""","2-Way Floor General","Matthew Dellavedova",69,"Sacramento Kings"
"663","SG","6'3""","Prospect","Keon Ellis",68,"Sacramento Kings"
"664","SF / SG","6'9""","2-Way Sharpshooter","Peja Stojakovic",87,"2001-02 Sacramento Kings"
"665","C / PF","7'1""","2-Way Inside-the-Arc Maestro","Vlade Divac",87,"2001-02 Sacramento Kings"
"666","PG","6'1""","Playmaking Shot Creator","Mike Bibby",83,"2001-02 Sacramento Kings"
"667","SG / SF","6'6""","2-Way Shooter","Doug Christie",83,"2001-02 Sacramento Kings"
"668","PG","6'1""","Playmaking Shot Creator","Bobby Jackson",80,"2001-02 Sacramento Kings"
"669","C","6'11""","2-Way Mid-Range Specialist","Scot Pollard",78,"2001-02 Sacramento Kings"
"670","SF / PF","6'10""","3PT Shooter","Hedo Turkoglu",76,"2001-02 Sacramento Kings"
"671","PF","6'9""","Paint Protector","Lawrence Funderburke",75,"2001-02 Sacramento Kings"
"672","SF / PF","6'7""","Hybrid Defender","Gerald Wallace",75,"2001-02 Sacramento Kings"
"673","PF","6'9""","Paint Protector","Chucky Brown",70,"2001-02 Sacramento Kings"
"674","PG / SG","6'5""","All-Around Threat","Oscar Robertson",97,"All-Time Sacramento Kings"
"675","PF / C","6'8""","2-Way 3-Level Scorer","Jerry Lucas",95,"All-Time Sacramento Kings"
"676","SG / SF","6'5""","All-Around Threat","Mitch Richmond",94,"All-Time Sacramento Kings"
"677","PG","6'1""","2-Way Slashing Playmaker","Nate Archibald",94,"All-Time Sacramento Kings"
"678","PF / C","6'9""","2-Way Slasher","Chris Webber",93,"All-Time Sacramento Kings"
"679","C","6'11""","2-Way 3-Level Scorer","DeMarcus Cousins",90,"All-Time Sacramento Kings"
"680","C / PF","'""","2-Way Glass-Cleaning Slasher","Wayne Embry",90,"All-Time Sacramento Kings"
"681","SF","6'9""","Sharpshooter","Peja Stojakovic",88,"All-Time Sacramento Kings"
"682","PG","6'1""","All-Around Threat","Mike Bibby",88,"All-Time Sacramento Kings"
"683","C / PF","7'1""","2-Way Inside-the-Arc Maestro","Vlade Divac",88,"All-Time Sacramento Kings"
"684","SG","6'3""","Slashing Combo Guard","Otis Birdsong",87,"All-Time Sacramento Kings"
"685","PG / SG","6'7""","Slashing Playmaker","Reggie Theus",87,"All-Time Sacramento Kings"
"686","SG / SF","6'7""","2-Way Diming Sharpshooter","Kevin Martin",86,"All-Time Sacramento Kings"
"687","SG / SF","'""","2-Way Inside-the-Arc Scorer","Eddie Johnson",86,"All-Time Sacramento Kings"
"688","PG","6'3""","2-Way Slashing Playmaker","De’Aaron Fox",84,"All-Time Sacramento Kings"
"689","SG / SF","6'6""","2-Way 3-Level Scorer","Doug Christie",83,"All-Time Sacramento Kings"
"690","SF / SG","6'7""","Inside the Arc Scorer","Lionel Simmons",81,"All-Time Sacramento Kings"
"691","PF / C","6'8""","Playmaking 3-Level Scorer","Julius Randle",87,"New York Knicks"
"692","PG","6'2""","Versatile Offensive Force","Jalen Brunson",87,"New York Knicks"
"693","SF / SG","6'6""","2-Way Slashing Point Forward","R.J. Barrett",82,"New York Knicks"
"694","SG / PG","6'2""","Versatile Offensive Force","Immanuel Quickley",82,"New York Knicks"
"695","C","7'0""","Defensive Anchor","Mitchell Robinson",80,"New York Knicks"
"696","SF / SG","6'4""","Inside-Out Scorer","Josh Hart",79,"New York Knicks"
"697","SG / SF","6'5""","3-Level Scorer","Quentin Grimes",78,"New York Knicks"
"698","PF / C","6'9""","Lob Threat","Obi Toppin",77,"New York Knicks"
"699","PG / SG","6'3""","Slashing Playmaker","Derrick Rose",76,"New York Knicks"
"700","PF","6'10""","Glass-Cleaning Finisher","Jericho Sims",76,"New York Knicks"
"701","C","7'0""","Glass-Cleaning Finisher","Isaiah Hartenstein",76,"New York Knicks"
"702","SG / SF","6'6""","3-Level Scorer","Evan Fournier",74,"New York Knicks"
"703","PF / C","6'8""","Interior Finisher","Isaiah Roby",74,"New York Knicks"
"704","SG / PG","6'2""","2-Way Mid-Range Shooter","Miles McBride",73,"New York Knicks"
"705","PG / SG","6'3""","3-Level Scorer","Duane Washington Jr.",73,"New York Knicks"
"706","SF / SG","6'5""","Prospect","DaQuan Jeffries",70,"New York Knicks"
"707","SG","6'4""","Tempo-Pushing Guard","Trevor Keels",68,"New York Knicks"
"708","PG / SG","6'4""","2-Way Slashing Playmaker","Walt Frazier",93,"1971-72 New York Knicks"
"709","PF / C","6'8""","2-Way Inside-Out Scorer","Jerry Lucas",86,"1971-72 New York Knicks"
"710","C / PF","6'9""","2-Way Inside-the-Arc Scorer","Willis Reed",84,"1971-72 New York Knicks"
"711","PF / SF","6'6""","Glass-Cleaning Lockdown","Dave DeBusschere",83,"1971-72 New York Knicks"
"712","SF / SG","6'5""","2-Way Shooter","Bill Bradley",80,"1971-72 New York Knicks"
"713","PG / SG","6'3""","Inside the Arc Playmaker","Earl Monroe",78,"1971-72 New York Knicks"
"714","SG / SF","6'4""","Diming 3PT Shooter","Dick Barnett",78,"1971-72 New York Knicks"
"715","PF / C","6'8""","Paint Protector","Phil Jackson",75,"1971-72 New York Knicks"
"716","PF","6'9""","Glass Cleaner","Eddie Mast",69,"1971-72 New York Knicks"
"717","C / PF","6'10""","Glass Cleaner","Luther Rackley",67,"1971-72 New York Knicks"
"718","C / PF","7'0""","2-Way Inside-the-Arc Scorer","Patrick Ewing",91,"1994-95 New York Knicks"
"719","SG / PG","6'3""","2-Way Inside-Out Scorer","John Starks",83,"1994-95 New York Knicks"
"720","PF / C","6'8""","Defensive Anchor","Charles Oakley",81,"1994-95 New York Knicks"
"721","PG / SG","6'4""","2-Way Shooter","Derek Harper",79,"1994-95 New York Knicks"
"722","PF / C","6'10""","Inside the Arc Scorer","Charles Smith",79,"1994-95 New York Knicks"
"723","SG / SF","6'5""","Sharpshooter","Hubert Davis",76,"1994-95 New York Knicks"
"724","PG / SG","6'0""","3PT Playmaker","Greg Anthony",75,"1994-95 New York Knicks"
"725","SG / SF","6'6""","Perimeter Lockdown","Doug Christie",70,"1994-95 New York Knicks"
"726","PG","6'2""","Ball Hawk","Charlie Ward",70,"1994-95 New York Knicks"
"727","PF / SF","6'8""","Paint Protector","Anthony Bonner",70,"1994-95 New York Knicks"
"728","SF / PF","6'8""","Scrappy Wing","Monty Williams",68,"1994-95 New York Knicks"
"729","C / PF","6'11""","Paint Protector","Herb Williams",67,"1994-95 New York Knicks"
"730","C / PF","7'0""","2-Way Inside-the-Arc Scorer","Patrick Ewing",85,"1998-99 New York Knicks"
"731","SF","6'5""","2-Way Point Forward","Latrell Sprewell",85,"1998-99 New York Knicks"
"732","SG / SF","6'6""","Sharpshooting Shot Creator","Allan Houston",83,"1998-99 New York Knicks"
"733","PF / SF","6'7""","2-Way 3-Level Scorer","Larry Johnson",81,"1998-99 New York Knicks"
"734","C","6'11""","Defensive Anchor","Marcus Camby",80,"1998-99 New York Knicks"
"735","PF","6'9""","Glass Cleaner","Kurt Thomas",76,"1998-99 New York Knicks"
"736","PG","6'2""","3 & D Point","Charlie Ward",75,"1998-99 New York Knicks"
"737","C","7'1""","Glass Cleaner","Chris Dudley",71,"1998-99 New York Knicks"
"738","SG / SF","6'5""","Perimeter Defender","David Wingate",68,"1998-99 New York Knicks"
"739","C / PF","6'10""","Paint Protector","Herb Williams",67,"1998-99 New York Knicks"
"740","SF / PF","6'8""","Offensive Threat","Carmelo Anthony",91,"2011-12 New York Knicks"
"741","PF / C","6'10""","2-Way Inside-the-Arc Scorer","Amar’e Stoudemire",89,"2011-12 New York Knicks"
"742","C","7'1""","Defensive Anchor","Tyson Chandler",85,"2011-12 New York Knicks"
"743","PG / PG","6'3""","2-Way Slashing Playmaker","Jeremy Lin",84,"2011-12 New York Knicks"
"744","SG / SF","6'6""","Shooter","J.R. Smith",80,"2011-12 New York Knicks"
"745","PF / SF","6'10""","Stretch Four","Steve Novak",77,"2011-12 New York Knicks"
"746","SG","6'7""","3 & D Wing","Landry Fields",75,"2011-12 New York Knicks"
"747","PG","6'3""","Diming Finisher","Baron Davis",74,"2011-12 New York Knicks"
"748","PF / SG","6'11""","Hybrid Defender","Jared Jeffries",74,"2011-12 New York Knicks"
"749","PG","6'1""","Tempo-Pushing Point","Mike Bibby",72,"2011-12 New York Knicks"
"750","PG / SG","6'4""","2-Way Playshot","Walt Frazier",97,"All-Time New York Knicks"
"751","C / PF","7'0""","2-Way Inside-the-Arc Scorer","Patrick Ewing",95,"All-Time New York Knicks"
"752","C / PF","6'9""","2-Way Inside-the-Arc Scorer","Willis Reed",94,"All-Time New York Knicks"
"753","SG / PG","6'4""","All-Around Threat","Richie Guerin",92,"All-Time New York Knicks"
"754","SF / PF","6'8""","Scoring Machine","Carmelo Anthony",92,"All-Time New York Knicks"
"755","PF / SF","6'6""","2-Way 3-Level Scorer","Dave Debusschere",92,"All-Time New York Knicks"
"756","SG / SF","6'6""",NA,"Allan Houston",89,"All-Time New York Knicks"
"757","PF / C","6'10""","2-Way Inside-the-Arc Scorer","Amar’e Stoudemire",89,"All-Time New York Knicks"
"758","SF","6'7""","2-Way Slashing Point Forward","Bernard King",89,"All-Time New York Knicks"
"759","PG / SG","6'5""","2-Way Slashing Playmaker","Micheal Ray Richardson",89,"All-Time New York Knicks"
"760","SG / PG","6'3""","2-Way Diming Sharpshooter","John Starks",88,"All-Time New York Knicks"
"761","PG / SG","6'3""","2-Way Playshot","Earl Monroe",88,"All-Time New York Knicks"
"762","SG / SF","6'4""","2-Way 3-Level Scorer","Dick Barnett",87,"All-Time New York Knicks"
"763","PF / C","6'8""","Offensive Threat","Julius Randle",86,"All-Time New York Knicks"
"764","PF / C","6'8""","2-Way 3-Level Scorer","Charles Oakley",86,"All-Time New York Knicks"
"765","SF / PG","6'9""","2-Way Slashing Point Forward","LeBron James",97,"Los Angeles Lakers"
"766","PF / C","6'10""","2-Way Inside-the-Arc Scorer","Anthony Davis",94,"Los Angeles Lakers"
"767","PG / SG","6'4""","Versatile Offensive Force","D’Angelo Russell",83,"Los Angeles Lakers"
"768","SG","6'5""","3-Level Scorer","Austin Reaves",81,"Los Angeles Lakers"
"769","PF / SF","6'8""","Glass-Cleaning Lockdown","Jarred Vanderbilt",80,"Los Angeles Lakers"
"770","PG / SG","6'1""","Playmaking Shot Creator","Dennis Schroder",77,"Los Angeles Lakers"
"771","C","7'0""","2-Way Stretch Five","Mohamed Bamba",77,"Los Angeles Lakers"
"772","PF / SF","6'8""","3-Level Scorer","Rui Hachimura",76,"Los Angeles Lakers"
"773","SG / SF","6'4""","Inside-Out Scorer","Malik Beasley",76,"Los Angeles Lakers"
"774","SG / PG","6'4""","Inside-Out Scorer","Lonnie Walker IV",76,"Los Angeles Lakers"
"775","PF / SF","6'9""","Glass-Cleaning Finisher","Wenyen Gabriel",75,"Los Angeles Lakers"
"776","C","6'9""","Glass-Cleaning Finisher","Tristan Thompson",73,"Los Angeles Lakers"
"777","SF / SG","6'6""","3PT Shooter","Troy Brown Jr.",73,"Los Angeles Lakers"
"778","SG","6'6""","Shooter","Max Christie",71,"Los Angeles Lakers"
"779","PG / SG","6'7""","3 & D Point","Shaquille Harrison",69,"Los Angeles Lakers"
"780","PG","6'1""","Tempo-Pushing Point","Scotty Pippen Jr.",68,"Los Angeles Lakers"
"781","PF","6'9""","Stretch Four","Cole Swider",67,"Los Angeles Lakers"
"782","PG / SG","6'2""","All-Around Threat","Jerry West",94,"1964-65 Los Angeles Lakers"
"783","SF / PF","6'5""","2-Way Point Forward","Elgin Baylor",92,"1964-65 Los Angeles Lakers"
"784","PF / C","6'8""","Defensive Anchor","Rudy LaRusso",82,"1964-65 Los Angeles Lakers"
"785","SG / SF","6'4""","Interior Finisher","Dick Barnett",79,"1964-65 Los Angeles Lakers"
"786","SF / PF","6'6""","Scrappy Wing","Don Nelson",69,"1964-65 Los Angeles Lakers"
"787","PG / SG","6'2""","Floor General","Jim King",67,"1964-65 Los Angeles Lakers"
"788","PG / SG","6'2""","All-Around Threat","Jerry West",96,"1970-71 Los Angeles Lakers"
"789","C / PF","7'1""","Paint Beast","Wilt Chamberlain",93,"1970-71 Los Angeles Lakers"
"790","SG / PG","6'1""","Diming Sharpshooter","Gail Goodrich",83,"1970-71 Los Angeles Lakers"
"791","SF / PF","6'5""","Scrappy Wing","Elgin Baylor",76,"1970-71 Los Angeles Lakers"
"792","SF","6'8""","Mid-Range Specialist","Fred Hetzel",76,"1970-71 Los Angeles Lakers"
"793","C / PF","6'9""","Glass Cleaner","Rick Roberson",75,"1970-71 Los Angeles Lakers"
"794","SF / SG","6'0""","Interior Finisher","Keith Erickson",74,"1970-71 Los Angeles Lakers"
"795","SG / PG","6'3""","Pass-First Two Guard","Willie McCarter",68,"1970-71 Los Angeles Lakers"
"796","PG / SG","6'9""","2-Way Playshot","Magic Johnson",97,"1986-87 Los Angeles Lakers"
"797","C / PF","7'2""","2-Way Inside-the-Arc Scorer","Kareem Abdul-Jabbar",95,"1986-87 Los Angeles Lakers"
"798","SF / PF","6'9""","2-Way Interior Finisher","James Worthy",86,"1986-87 Los Angeles Lakers"
"799","SG / PG","6'5""","2-Way Inside-Out Scorer","Michael Cooper",86,"1986-87 Los Angeles Lakers"
"800","SG / PG","6'3""","3-Level Scorer","Byron Scott",85,"1986-87 Los Angeles Lakers"
"801","PF / C","6'9""","Defensive Anchor","A.C. Green",82,"1986-87 Los Angeles Lakers"
"802","C / PF","6'10""","Defensive Anchor","Mychal Thompson",80,"1986-87 Los Angeles Lakers"
"803","PF / C","6'8""","Defensive Anchor","Kurt Rambis",75,"1986-87 Los Angeles Lakers"
"804","PG","6'1""","Tempo-Pushing Point","Wes Matthews",73,"1986-87 Los Angeles Lakers"
"805","SF / PF","6'7""","Athletic Finisher","Billy Thompson",71,"1986-87 Los Angeles Lakers"
"806","PF / C","6'9""","Rebounder","Frank Brickowski",68,"1986-87 Los Angeles Lakers"
"807","PG / SG","6'9""","2-Way Playshot","Magic Johnson",93,"1990-91 Los Angeles Lakers"
"808","SF / PF","6'9""","2-Way Diming Finisher","James Worthy",88,"1990-91 Los Angeles Lakers"
"809","C / PF","7'1""","Defensive Anchor","Vlade Divac",77,"1990-91 Los Angeles Lakers"
"810","SG / PG","6'4""","3-Level Scorer","Byron Scott",76,"1990-91 Los Angeles Lakers"
"811","PF / C","6'9""","Paint Protector","A.C. Green",76,"1990-91 Los Angeles Lakers"
"812","PF / C","6'9""","Paint Protector","Sam Perkins",75,"1990-91 Los Angeles Lakers"
"813","SG","6'5""","Mid-Range Shooter","Terry Teagle",75,"1990-91 Los Angeles Lakers"
"814","PG / SG","6'1""","Diming 3PT Shooter","Larry Drew",71,"1990-91 Los Angeles Lakers"
"815","C / PF","6'10""","Glass Cleaner","Mychal Thompson",70,"1990-91 Los Angeles Lakers"
"816","C / PF","6'11""","Glass Cleaner","Elden Campbell",69,"1990-91 Los Angeles Lakers"
"817","PF","6'8""","Paint Protector","Irving Thomas",69,"1990-91 Los Angeles Lakers"
"818","C / PF","7'1""","Paint Beast","Shaquille O’Neal",94,"1997-98 Los Angeles Lakers"
"819","SG / SF","6'6""","2-Way 3-Level Scorer","Kobe Bryant",84,"1997-98 Los Angeles Lakers"
"820","PG / SG","6'1""","Playmaking Shot Creator","Nick Van Exel",84,"1997-98 Los Angeles Lakers"
"821","SG / SF","6'6""","2-Way Sharpshooter","Eddie Jones",83,"1997-98 Los Angeles Lakers"
"822","SF / SF","6'7""","2-Way Mid-Range Shooter","Rick Fox",80,"1997-98 Los Angeles Lakers"
"823","C / PF","6'11""","Defensive Anchor","Elden Campbell",76,"1997-98 Los Angeles Lakers"
"824","PG / SG","6'1""","Diming Sharpshooter","Derek Fisher",75,"1997-98 Los Angeles Lakers"
"825","SF / PF","6'9""","Stretch Four","Robert Horry",74,"1997-98 Los Angeles Lakers"
"826","PF / C","6'9""","Glass Cleaner","Corie Blount",70,"1997-98 Los Angeles Lakers"
"827","SG / PG","6'4""","Shooter","Jon Barry",69,"1997-98 Los Angeles Lakers"
"828","SG / SF","6'6""","2-Way Playshot","Kobe Bryant",98,"2000-01 Los Angeles Lakers"
"829","C / PF","7'1""","Diming Paint Beast","Shaquille O’Neal",98,"2000-01 Los Angeles Lakers"
"830","PF / C","6'10""","Defensive Anchor","Horace Grant",80,"2000-01 Los Angeles Lakers"
"831","SF / SF","6'7""","2-Way Shooter","Rick Fox",79,"2000-01 Los Angeles Lakers"
"832","PG / SG","6'1""","2-Way Diming Sharpshooter","Derek Fisher",77,"2000-01 Los Angeles Lakers"
"833","PF / SF","6'9""","Stretch Four","Robert Horry",76,"2000-01 Los Angeles Lakers"
"834","SG","6'5""","3-Level Scorer","Isaiah Rider",75,"2000-01 Los Angeles Lakers"
"835","PG / SG","6'6""","Perimeter Lockdown","Ron Harper",73,"2000-01 Los Angeles Lakers"
"836","PF / C","6'9""","Paint Protector","Mark Madsen",73,"2000-01 Los Angeles Lakers"
"837","PG","6'3""","Diming Sharpshooter","Mike Penberthy",73,"2000-01 Los Angeles Lakers"
"838","PG / SG","6'0""","3-Level Scorer","Tyronn Lue",72,"2000-01 Los Angeles Lakers"
"839","SG / PG","6'6""","Tempo-Pushing Guard","Brian Shaw",72,"2000-01 Los Angeles Lakers"
"840","SF","6'8""","Scrappy Wing","Devean George",71,"2000-01 Los Angeles Lakers"
"841","PF / C","6'11""","Paint Protector","Greg Foster",69,"2000-01 Los Angeles Lakers"
"842","C / PF","7'1""","Diming Paint Beast","Shaquille O’Neal",97,"2003-04 Los Angeles Lakers"
"843","SG / SF","6'6""","2-Way Playshot","Kobe Bryant",96,"2003-04 Los Angeles Lakers"
"844","PF / C","6'9""","2-Way Inside-the-Arc Scorer","Karl Malone",84,"2003-04 Los Angeles Lakers"
"845","PG / SG","6'4""","2-Way Slashing Playmaker","Gary Payton",83,"2003-04 Los Angeles Lakers"
"846","PF / C","6'10""","2-Way Inside-the-Arc Scorer","Horace Grant",75,"2003-04 Los Angeles Lakers"
"847","SF / SF","6'7""","Shooter","Rick Fox",75,"2003-04 Los Angeles Lakers"
"848","SF","6'8""","3PT Shooter","Devean George",75,"2003-04 Los Angeles Lakers"
"849","SF / SG","6'8""","Sharpshooter","Bryon Russell",74,"2003-04 Los Angeles Lakers"
"850","C","6'9""","Stretch Four","Brian Cook",74,"2003-04 Los Angeles Lakers"
"851","PG / SG","6'1""",NA,"Derek Fisher",73,"2003-04 Los Angeles Lakers"
"852","PF","6'8""","Ball Hawk","Luke Walton",73,"2003-04 Los Angeles Lakers"
"853","SG","6'6""","3-Level Scorer","Kareem Rush",70,"2003-04 Los Angeles Lakers"
"854","C","6'11""","Paint Protector","Jamal Sampson",68,"2003-04 Los Angeles Lakers"
"855","PG / SG","6'9""","One of a Kind","Magic Johnson",98,"All-Time Los Angeles Lakers"
"856","SG / SF","6'6""","All-Around Threat","Kobe Bryant",98,"All-Time Los Angeles Lakers"
"857","C / PF","7'1""","Paint Beast","Shaquille O’Neal",98,"All-Time Los Angeles Lakers"
